System,Frame,Leaflet,zo,h,mux,muy,std_p1,std_p2,theta,k_p1,k_p2,Mean_Curvature,Gaussian_Curvature,K_X_projection,K_Y_projection
cut1,0,0,95.70648940048812,-19.798849371448462,82.8427077957558,144.71796627295413,86.52488633728208,96.774723957728,4.402835911589398,0.005289174218067069,0.004228107929109333,0.004758641073588201,2.2363199449850034e-05,0.0016315316414618189,0.005035699277786325
cut1,10,0,95.01534305060619,-19.32739483476469,86.0666735454544,149.66492034644062,88.23458869470139,85.92573769970392,5.900989461468964,0.004965072373357726,0.0052354832652317905,0.005100277819294758,2.5994553321379064e-05,0.00460320746375165,0.001829366807021655
cut1,20,0,98.11784878205836,-22.647328315330967,86.63366119835047,155.35560515629754,101.46763714157447,94.62025965265666,-0.2724119291527307,0.004399384064802103,0.005059163334007522,0.004729273699404813,2.2257202552863775e-05,0.004235540566000924,0.0011630172267018662
cut1,30,0,96.66602710942982,-21.13392080047097,85.97408573913971,155.55948632019664,102.13603561078592,93.30808713821091,9.305615795017404,0.004051838042029191,0.00485480173745642,0.004453319889742806,1.967087036633534e-05,0.0040233821118114,0.0005010711497996799
cut1,40,0,98.98049184560652,-22.311633529650784,84.46037834182593,151.80204962251725,100.35657652286707,90.21347571918152,1.5864514349797656,0.00443067289265428,0.005483003620136891,0.004956838256395585,2.4293395510065805e-05,9.364610835285045e-05,0.004430135900821
cut1,50,0,97.7122020227064,-20.987482342014726,84.14255598473031,154.0455307212197,100.9595168224808,88.72425710889144,4.6012469297049705,0.004118089798425009,0.005332189754336949,0.004725139776380979,2.1958436230601347e-05,0.0004784330408983976,0.00409241065960094
cut1,60,0,100.07270718595066,-23.41285781785168,90.77453038138364,152.03593147992632,87.87939558612402,106.5328711914838,2.116118402699762,0.0060633173684858785,0.004125885386754133,0.005094601377620005,2.501655252588841e-05,0.0031632696046717946,0.00519061414408788
cut1,70,0,99.27701899051924,-22.990184269261874,89.35506745471783,156.53541740790462,87.87195278802388,106.9057288494282,2.224642287356058,0.005954864614265198,0.004023189511305503,0.004989027062785351,2.3957548857356036e-05,0.003637084177596214,0.004735525312957543
cut1,80,0,100.7036460877431,-24.285539138117553,88.89470450716307,151.1104163959195,111.28967317591162,97.20518111517984,4.043371388446223,0.003921642593414629,0.005140423700899358,0.0045310331471569935,2.0158904533644986e-05,0.002444648751508141,0.0030684892949089425
cut1,90,0,101.1046292297413,-26.12607910673696,89.80737006313244,148.22812418243603,104.0321192447762,93.09146453274288,0.6051409315890494,0.004828023128853391,0.006029544540360283,0.005428783834606837,2.9110780497311137e-05,0.003961227880225292,0.0027662121165847446
cut1,100,0,97.49307745209332,-22.859776764531908,91.26509606394049,153.2405254590084,101.10098397833893,85.5365430642468,0.5981378922890987,0.004472920876345981,0.00624882830358252,0.005360874589964251,2.7950514571795894e-05,0.0036874718352092294,0.002537776569334265
cut1,110,0,96.79454824999421,-22.192254363850516,93.21948225320487,145.40566600696062,87.65981146127258,78.69676489638745,0.9794432819509196,0.005776042136270344,0.007166674141136084,0.006471358138703214,4.1395011816121106e-05,0.003191469063168141,0.004808022707624172
cut1,120,0,98.98137379396013,-23.59796274089075,86.33672428671753,146.3336488376293,84.25927748383387,100.90999200710256,1.807862634362192,0.006647663768691873,0.004634855120296994,0.0056412594444944335,3.081095845633434e-05,0.0015903127596892104,0.006463431757768509
cut1,130,0,96.44236978244517,-21.38590770326357,95.4850901941177,150.1757855919378,74.69717571065964,88.66129853378342,2.3045415425720344,0.0076656559051739345,0.005441135089470089,0.006553395497322012,4.170986932944549e-05,0.005156314431720758,0.005711731517031214
cut1,140,0,96.59655024801027,-22.57536407178895,88.3341044437668,145.89627585213273,81.3367830254896,75.81864761687963,4.42211955750879,0.00682481330405189,0.007854394150560622,0.007339603727306256,5.3604773694013476e-05,0.0020024903443493854,0.006534901886049276
cut1,150,0,94.95635952686271,-19.98432387248445,89.74895239132789,145.52490767659654,78.4038388505771,71.47905778510389,-1.87737581496164,0.0065019675897230195,0.007822792609601883,0.007162380099662451,5.0863544008756205e-05,0.002008465596831136,0.00619414022204395
cut1,160,0,95.41140070673309,-20.323897692042557,86.3582203277441,143.31348081564943,75.65562511697104,88.13649181003271,6.422884010155095,0.007101572867942386,0.005232695656125342,0.0061671342620338646,3.7160369497739714e-05,0.0070316669380174395,0.001025283228529436
cut1,170,0,99.77442585854536,-24.669705810872287,85.10874716547157,144.99820679708847,94.212286596661,85.55888941488391,-3.2603283178651137,0.0055587722023364315,0.006740058855519021,0.006149415528927726,3.746645180817064e-05,0.0055201579628966204,0.0006954004467542217
cut1,180,0,97.5785161468685,-22.464995240766182,86.22983369241184,144.3311350933983,99.54746660552608,78.56774066018956,9.249855813832022,0.004533941396980868,0.0072785990694700445,0.005906270233225456,3.300074163309666e-05,0.004465749772540966,0.0008210292079263079
cut1,190,0,98.4891843117499,-24.613166747979736,84.88738289055837,149.18055844390256,77.32342555997339,94.90724674601977,7.673575258776358,0.008233326120302012,0.0054651078915661615,0.006849217005934087,4.499601555390033e-05,0.0014337319899759037,0.00810115105231296
cut1,200,0,97.91441730965558,-23.73143989419361,83.57419244445565,144.44539475597773,79.94197937640371,89.92825440328528,3.880445538355261,0.00742684381315885,0.00586896822855044,0.006647906020854645,4.358791037783569e-05,0.005509956734713654,0.004977669532909164
cut1,210,0,98.3388517181777,-25.36862758014032,87.49726698289913,146.93984754457634,84.59137775189421,82.75691526258638,2.2747109898693343,0.007090465883545129,0.007408296921465537,0.007249381402505333,5.25282765768238e-05,0.004619450102444209,0.005427105172606551
